x,y
-5.0,-10.506571693977534
-4.898989898989899,-11.524003349817116
-4.797979797979798,-9.69957241874811
-4.696969696969697,-7.696364529608191
-4.595959595959596,-10.958205739345662
-4.494949494949495,-10.705647651272098
-4.393939393939394,-6.8264228538337015
-4.292929292929293,-8.197453774017417
-4.191919191919192,-10.418746751667884
-4.090909090909091,-8.142152640100797
-3.9898989898989896,-9.901582860372399
-3.888888888888889,-9.653681729362734
-3.787878787878788,-7.985772426564902
-3.686868686868687,-12.043732206487313
-3.5858585858585856,-11.414482129672528
-3.484848484848485,-8.836696270603158
-3.383838383838384,-9.485258200264807
-3.282828282828283,-6.57857604188016
-3.1818181818181817,-8.770593605587877
-3.080808080808081,-9.526627604690786
-2.9797979797979797,-3.518197411651841
-2.878787878787879,-6.648522297942769
-2.7777777777777777,-5.809388035068597
-2.676767676767677,-8.541415564346106
-2.5757575757575757,-6.528159388444305
-2.474747474747475,-4.965023507448954
-2.3737373737373737,-7.236330589188039
-2.272727272727273,-3.9304221451268386
-2.1717171717171717,-5.630570309130539
-2.070707070707071,-4.760155176354231
-1.9696969696969697,-5.127655648701218
-1.868686868686869,0.03283919730070339
-1.7676767676767677,-3.4461863686677874
-1.6666666666666665,-5.282088524578467
-1.5656565656565657,-1.2690515899350363
-1.4646464646464645,-5.103303461558205
-1.3636363636363638,-1.9913637190813984
-1.2626262626262625,-6.075905904325207
-1.1616161616161618,-4.560412501837265
-1.0606060606060606,-1.2577926797769043
-0.9595959595959593,0.07794326100092253
-0.858585858585859,-0.8037280840847065
-0.7575757575757578,-1.1252359587158756
-0.6565656565656566,-1.243621532592719
-0.5555555555555554,-3.345932869623743
-0.45454545454545503,-1.5760520531530549
-0.3535353535353538,-0.8051159257579595
-0.2525252525252526,2.4829313211247
-0.15151515151515138,1.3084487003490444
-0.050505050505050164,-2.6523429369880933
0.050505050505050164,1.7744305650522154
0.15151515151515138,0.6086233179552454
0.2525252525252526,0.27746913070121404
0.3535353535353538,3.1071909615201205
0.45454545454545414,4.198362681355537
0.5555555555555554,4.251449127121285
0.6565656565656566,0.9629790949688644
0.7575757575757578,2.275514642236965
0.8585858585858581,3.808991509271773
0.9595959595959593,5.350080153234616
1.0606060606060606,2.6931666758245716
1.1616161616161618,3.5327224507127704
1.262626262626262,1.9438957085535993
1.3636363636363633,2.0166776609295667
1.4646464646464645,6.286667806404557
1.5656565656565657,7.626621471283061
1.666666666666667,5.022646423506
1.7676767676767673,7.426257714975967
1.8686868686868685,6.394989221812439
1.9696969696969697,4.634002915032175
2.070707070707071,6.899558887784505
2.1717171717171713,9.505366062224866
2.2727272727272725,6.610166103598279
2.3737373737373737,10.063630745971446
2.474747474747475,1.9473784786891981
2.5757575757575752,9.083198948144386
2.6767676767676765,7.866013328395534
2.7777777777777777,7.34642974351271
2.878787878787879,8.380491250040702
2.9797979797979792,4.4743571202931625
3.0808080808080813,8.26267642634518
3.1818181818181817,9.668770597568946
3.282828282828282,12.162858796553738
3.383838383838384,8.423055523048665
3.4848484848484844,8.095134006334836
3.5858585858585865,8.961132377477394
3.686868686868687,12.047975952575865
3.787878787878787,11.127199189016338
3.8888888888888893,9.662701814688145
3.9898989898989896,12.001282340974186
4.09090909090909,11.421427825968806
4.191919191919192,13.417087960863757
4.292929292929292,10.328217044568527
4.3939393939393945,11.32952419165295
4.494949494949495,11.453157431109421
4.595959595959595,9.56286909363475
4.696969696969697,13.334664796553394
4.797979797979798,13.517060039309273
4.8989898989899,13.257701660759672
5.0,13.030825733249706
